Ticker,EntryDate,ExitDate,EP,XP,Ret,Reason,GainLoss
CAR,2021-04-20,2021-06-16,72.24,85.31,18.09,RankDrop,514253.34
NUE,2021-06-02,2021-06-18,102.07,87.06,-14.71,StopLoss,-427034.83
CHRD,2021-06-18,2021-07-29,58.11,60.7,4.45,RankDrop,146411.64
DDS,2021-06-16,2021-08-03,123.2,138.2,12.18,TrendExit,367573.72
MRNA,2021-07-29,2021-08-12,350.82,399.79,13.96,RankDrop,478768.73
DOCU,2021-08-03,2021-08-26,293.46,299.64,2.1,RankDrop,80621.56
CMG,2021-08-26,2021-09-24,38.42,38.88,1.2,RankDrop,43912.55
MRNA,2021-09-24,2021-09-29,448.31,393.0,-12.34,StopLoss,-553724.99
ACI,2021-09-29,2021-10-08,20.68,18.1,-12.51,StopLoss,-204334.66
SITM,2021-08-12,2021-10-22,207.06,227.76,9.99,RankDrop,379708.32
TEAM,2021-10-08,2021-10-22,400.38,418.44,4.51,RankDrop,74151.29
CAR,2021-10-22,2021-11-05,158.93,258.42,62.6,RankDrop,2258951.84
RRC,2021-10-22,2021-11-05,22.87,21.87,-4.37,RankDrop,-157728.94
AR,2021-11-05,2021-11-19,20.78,18.38,-11.55,RankDrop,-659100.85
NET,2021-11-19,2021-11-23,216.91,183.79,-15.27,StopLoss,-757431.5
MTDR,2021-11-05,2021-12-02,39.66,32.2,-18.82,StopLoss,-1073943.52
TSLA,2021-11-23,2021-12-06,389.37,333.66,-14.31,StopLoss,-588894.09
F,2021-12-02,2021-12-17,14.38,14.75,2.61,MacroShield,77082.17
DLTR,2021-12-06,2021-12-17,138.08,138.1,0.01,MacroShield,289.06
DLTR,2021-12-20,2021-12-22,134.45,136.5,1.52,MacroShield,20543.67
ANET,2021-12-20,2021-12-22,33.16,34.21,3.19,MacroShield,43015.82
BLDR,2022-01-04,2022-01-19,84.4,76.15,-9.78,StopLoss,-243090.06
COKE,2022-01-04,2022-01-21,59.16,54.99,-7.04,MacroShield,-174994.89
MU,2022-01-19,2022-01-21,91.66,82.28,-10.23,MacroShield,-123132.9
MDGL,2023-02-01,2023-02-09,289.95,263.89,-8.99,StopLoss,-182372.76
VKTX,2023-02-01,2023-02-09,8.81,9.61,9.08,MacroShield,184242.73
